budget,popularity,revenue,runtime,vote_average,vote_count,crew_count,cast_count,release_year,release_month,profit,original_language_Other,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_zh,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Australia,Canada,China,France,Germany,Italy,Japan,Other,Spain,United Kingdom,United States of America,cast_freq_sum,cast_freq_mean,director_freq,success
1.8942340304898106,0.8414334533627985,19.854934957961998,2.041321395930169,0.13070012251310978,0.7498057253190075,83,21,2008,5,17.96070092747219,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,149,7.095238095238095,5.0,1
1.8755684453876136,1.4498450148071995,21.14168528147379,1.702776335901779,1.2635216074967974,1.5300708076801002,147,115,2012,4,19.266116836086177,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570,4.956521739130435,3.0,1
2.3295186749699295,1.4097400984346664,20.76796555425219,1.3642312758733888,0.2336838938752637,1.18789768889422,39,35,2011,5,18.43844687928226,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278,7.942857142857143,5.0,1
1.8942340304898106,0.8189271745113753,20.25170383727199,-0.0866761242482831,0.027716351150956758,1.1194482576072702,21,18,2012,5,18.357469806782177,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206,11.444444444444445,7.0,1
1.9817447449674186,1.3397277192441792,20.678289170592233,1.7511399159058347,0.9545702934103366,1.172612590241522,127,42,2014,12,18.696544425624815,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,312,7.428571428571429,9.0,1
1.856473729003451,1.1556485749051018,20.438533885937286,1.3642312758733888,0.3366676652374167,1.3007416851110503,106,57,2012,6,18.582060156933835,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284,4.982456140350878,3.0,1
1.7964053749053166,0.6213499936628751,19.554240336084877,1.5576855958896116,0.027716351150956758,0.689247718887339,18,34,2010,5,17.75783496117956,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,284,8.352941176470589,16.0,1
1.9817447449674186,1.1859047423190239,20.680775786368866,2.573320775974782,1.4694891502211034,1.1525469877667394,108,32,2013,12,18.699031041401447,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,232,7.25,9.0,1
1.7088946605199926,0.7019997362233852,19.73503557054199,0.251868935780107,-0.3842187342976571,0.6614933199428786,32,29,2007,12,18.026140910021997,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,255,8.793103448275861,6.0,1
1.824978635108053,0.9188726986199162,20.125428838008972,3.830773856080231,0.4396514365995697,0.8919310725299662,38,33,2005,12,18.30045020290092,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,195,5.909090909090909,9.0,1
